[16:09:32] [main/INFO] [cpw.mods.modlauncher.Launcher]: ModLauncher running: args [--launchTarget, forgeserver, --fml.forgeVersion, 47.2.32, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[16:09:32] [main/INFO] [cpw.mods.modlauncher.Launcher]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.11 by Oracle Corporation; OS Windows 11 arch amd64 version 10.0
[16:09:33] [main/WARN] [net.minecraftforge.fml.loading.FMLConfig]: Configuration file D:\desktop\E\config\fml.toml is not correct. Correcting
[16:09:33] [main/INFO] [net.minecraftforge.fml.loading.FMLConfig]: Incorrect key [earlyWindowSkipGLVersions] was corrected from null to []
[16:09:33] [main/INFO] [net.minecraftforge.fml.loading.FMLConfig]: Incorrect key [earlyWindowSquir] was corrected from null to false
[16:09:33] [main/INFO] [net.minecraftforge.fml.loading.FMLConfig]: Incorrect key [earlyWindowShowCPU] was corrected from null to false
[16:09:33] [main/INFO] [net.minecraftforge.fml.loading.ImmediateWindowHandler]: ImmediateWindowProvider not loading because launch target is forgeserver
[16:09:33] [main/INFO] [mixin]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/D:/desktop/E/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%23112!/ Service=ModLauncher Env=SERVER
[16:09:34] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator]: No dependencies to load found. Skipping!
[16:09:37] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler]: Launching target 'forgeserver' with arguments []
[16:09:51] [modloading-worker-0/INFO] [com.mohistmc.MohistMC]: Mohist mod loading.....
[16:09:51] [modloading-worker-0/INFO] [net.minecraftforge.common.ForgeMod]: Forge mod loading, version 47.2.32, for MC 1.20.1 with MCP 20230612.114412
[16:09:51] [modloading-worker-0/INFO] [net.minecraftforge.common.MinecraftForge]: MinecraftForge v47.2.32 Initialized
[16:09:51] [modloading-worker-0/INFO] [net.minecraftforge.common.MinecraftForge]: NeoForge v47.1.105 Initialized
[16:09:51] [modloading-worker-0/INFO] [com.mohistmc.MohistMC]: EventDispatcherRegistry initialized
[16:09:54] [main/INFO] [com.mojang.authlib.yggdrasil.YggdrasilAuthenticationService]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[16:09:58] [main/INFO] [net.minecraft.world.item.crafting.RecipeManager]: Loaded 7 recipes
[16:09:58] [main/INFO] [net.minecraft.advancements.AdvancementList]: Loaded 1271 advancements
[16:09:59] [Server thread/INFO] [net.minecraft.server.dedicated.DedicatedServer]: Starting minecraft server version 1.20.1
[16:09:59] [Server thread/INFO] [net.minecraft.server.dedicated.DedicatedServer]: Loading properties
[16:09:59] [Server thread/INFO] [net.minecraft.server.dedicated.DedicatedServer]: Default game type: CREATIVE
[16:09:59] [Server thread/INFO] [net.minecraft.server.MinecraftServer]: Generating keypair
[16:09:59] [Server thread/INFO] [net.minecraft.server.dedicated.DedicatedServer]: Starting Minecraft server on *:25580
[16:09:59] [Server thread/INFO] [net.minecraft.server.network.ServerConnectionListener]: Using default channel type
[16:10:00] [Server thread/INFO] [Minecraft]: This server is running Mohist version 1.20.1-735 (MC: 1.20.1) (Implementing API version 1.20.1-R0.1-SNAPSHOT, Forge version 47.2.32, NeoForge version 47.1.105)
[16:10:01] [Server thread/INFO] [Minecraft]: Debug logging is enabled
[16:10:01] [Server thread/INFO] []: Server Ping Player Sample Count: 12
[16:10:01] [Server thread/INFO] [Minecraft]: Using 4 threads for Netty based IO
[16:10:01] [Server thread/WARN] [net.minecraftforge.common.ForgeConfigSpec]: Configuration file .\XLRT_Main_World\serverconfig\forge-server.toml is not correct. Correcting
[16:10:01] [Server thread/WARN] [net.minecraftforge.common.ForgeConfigSpec]: Incorrect key server was corrected from null to its default, SimpleCommentedConfig:{}. 
[16:10:01] [Server thread/WARN] [net.minecraftforge.common.ForgeConfigSpec]: Incorrect key server.removeErroringBlockEntities was corrected from null to its default, true. 
[16:10:01] [Server thread/WARN] [net.minecraftforge.common.ForgeConfigSpec]: Incorrect key server.removeErroringEntities was corrected from null to its default, true. 
[16:10:01] [Server thread/WARN] [net.minecraftforge.common.ForgeConfigSpec]: Incorrect key server.fullBoundingBoxLadders was corrected from null to its default, false. 
[16:10:01] [Server thread/WARN] [net.minecraftforge.common.ForgeConfigSpec]: Incorrect key server.zombieBaseSummonChance was corrected from null to its default, 0.1. 
[16:10:01] [Server thread/WARN] [net.minecraftforge.common.ForgeConfigSpec]: Incorrect key server.zombieBabyChance was corrected from null to its default, 0.05. 
[16:10:01] [Server thread/WARN] [net.minecraftforge.common.ForgeConfigSpec]: Incorrect key server.permissionHandler was corrected from null to its default, forge:default_handler. 
[16:10:01] [Server thread/WARN] [net.minecraftforge.common.ForgeConfigSpec]: Incorrect key server.advertiseDedicatedServerToLan was corrected from null to its default, true. 
[16:10:01] [Server thread/INFO] [net.minecraft.server.dedicated.DedicatedServer]: Preparing level "XLRT_Main_World"
[16:10:09] [Server thread/INFO] [net.minecraft.server.MinecraftServer]: Preparing start region for dimension minecraft:overworld
[16:10:11] [Worker-Main-2/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 0%
[16:10:11] [Worker-Main-2/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 0%
[16:10:11] [Worker-Main-2/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 0%
[16:10:11] [Worker-Main-2/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 0%
[16:10:11] [Worker-Main-2/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 0%
[16:10:11] [Worker-Main-7/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 0%
[16:10:12] [Worker-Main-3/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 0%
[16:10:12] [Worker-Main-4/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 0%
[16:10:13] [Worker-Main-5/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 1%
[16:10:15] [Worker-Main-7/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 1%
[16:10:15] [Worker-Main-2/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 1%
[16:10:15] [Worker-Main-7/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 1%
[16:10:15] [Worker-Main-6/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 1%
[16:10:15] [Worker-Main-2/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 2%
[16:10:16] [Worker-Main-2/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 3%
[16:10:16] [Worker-Main-2/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 3%
[16:10:17] [Worker-Main-7/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 4%
[16:10:17] [Worker-Main-4/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 4%
[16:10:18] [Worker-Main-4/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 5%
[16:10:18] [Worker-Main-4/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 7%
[16:10:19] [Worker-Main-2/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 7%
[16:10:19] [Worker-Main-6/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 9%
[16:10:20] [Worker-Main-1/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 11%
[16:10:20] [Worker-Main-3/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 12%
[16:10:21] [Worker-Main-6/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 14%
[16:10:21] [Worker-Main-7/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 15%
[16:10:22] [Worker-Main-3/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 17%
[16:10:24] [Worker-Main-5/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 18%
[16:10:24] [Worker-Main-5/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 18%
[16:10:24] [Worker-Main-5/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 18%
[16:10:24] [Worker-Main-4/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 18%
[16:10:25] [Worker-Main-5/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 18%
[16:10:25] [Worker-Main-5/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 18%
[16:10:25] [Worker-Main-5/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 18%
[16:10:26] [Worker-Main-5/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 19%
[16:10:26] [Worker-Main-2/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 21%
[16:10:27] [Worker-Main-3/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 23%
[16:10:27] [Worker-Main-1/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 24%
[16:10:28] [Worker-Main-4/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 27%
[16:10:28] [Worker-Main-7/INFO] [net.minecraft.server.level.progress.LoggerChunkProgressListener]: Preparing spawn area: 30%
